,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air carrier,2135,2125,2679,2495,3808,4678,6083,6054,7320,7297,7370,6865,7077,7043,7451,7859,7826,7746,7673,7564,7764,7686,7637,7732,7337,7169,7185,7168,6914,6740,6761,6876,7077,7196,7475,7628
General aviation (active fleet),76549,95442,131743,168475,211045,210654,198000,196874,185650,177120,172935,188089,191129,192414,204710,219464,217533,211446,211244,209708,219426,224352,221943,231607,228663,223877,223370,220453,209034,199927,204408,210030,211793,211757,211749,210981
"Highway, total (registered vehicles)",73857768,90357667,111242295,137912779,161490159,177133282,193057376,192313834,194427346,198041338,201801918,205427212,210441249,211580033,215496003,220461056,225821241,235331382,234624135,236760033,243010549,247421120,250844644,254403081,255917664,254212611,250070048,253215681,253639386,255876822,260350938,263610219,268799083,272480899,273602100,276491174
"Light duty vehicle, short wheel basec,d",61671390,75257588,92067655,111670004,127294783,133329597,137959958,132476966,130646266,131305045,133929661,128386775,129728341,129748704,131838538,132432044,133621420,137633467,135920677,135669897,136430651,136568083,135399945,196491176,196762927,193979654,190202782,183522635,183171882,184497490,187554928,189618308,192774508,193672370,192856211,194348815
Motorcycled,U,U,U,U,U,U,U,U,U,U,3756553,3897191,3871599,3826373,3879450,4152433,4346068,4903056,5004156,5370035,5767934,6227146,6678958,7138476,7752926,7929724,8009503,8437502,8454939,8404687,8417718,8600936,8679380,8715204,8666185,8596314
"Light duty vehicle, long wheel basec",U,U,14210591,20418250,27875934,37213863,48274555,53033443,57091143,59993706,57141967,65738322,69133913,70224082,71330205,75356376,79084979,84187636,85011305,87186663,91845327,95336839,99124775,39186974,39685228,40488025,40241658,50318787,50588676,51512740,52600309,53298884,54870473,56880878,57853642,59465369
"Truck, single-unit 2-axle 6-tire or moree,f",U,13999285,3681405,4231622,4373784,4593071,4486981,4480815,4369842,4407850,4724608,5023670,5266029,5293358,5734925,5762864,5926030,5703501,5650619,5848523,6161028,6395240,6649337,8116672,8288046,8356097,8217189,7819055,8190286,8126007,8328759,8456302,8746518,9336998,10327899,10160433
"Truck, combinatioe,f",11914249,786510,905082,1130747,1416869,1403266,1708895,1691331,1675363,1680305,1578706,1695751,1746586,1789968,1997345,2028562,2096619,2154174,2276661,1908365,2010335,2086759,2169670,2635347,2585229,2617118,2552865,2451638,2469094,2471349,2577197,2746882,2752043,2892218,2906011,2925210
Bus,272129,314284,377562,462156,528789,593485,626987,631279,644732,654432,670423,685503,694781,697548,715540,728777,746125,749548,760717,776550,795274,807053,821959,834436,843308,841993,846051,666064,764509,864549,872027,888907,976161,983231,992152,995033
Transit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor bush,49600,49600,49700,50822,59411,64258,58714,60377,63080,64850,68123,67107,53339,54946,55661,57352,58578,60256,60719,61659,61318,62284,64025,63359,63151,63343,63108,61127,61245,66823,62449,63573,63270,63759,63284,64000
Light rail cars,2856,1549,1262,1061,1013,717,910,1092,1055,1001,1051,1048,1097,1062,1061,1160,1306,1359,1448,1482,1622,1645,1801,1802,1948,2059,2096,2284,2348,2842,2444,2478,2553,2557,2729,2811
